1 0
1001 0.00044032
2001  0.001572
3001  0.003414
4001  0.005878
5001  0.008957
6001  0.012772
7001  0.021536
8001  0.02264
9001  0.027946
10001  0.03428
11001  0.041701
12001  0.048915
13001  0.057267
14001  0.066154
15001  0.075979
16001  0.092667
17001  0.098209
18001  0.108694
19001  0.125346
20001  0.13358
21001  0.146999
22001  0.161143
23001  0.176135
24001  0.191485
25001  0.207871
26001  0.224248
27001  0.241979
28001  0.259675
29001  0.278549
30001  0.298881
31001  0.323289
32001  0.344106
33001  0.361068
34001  0.381626
35001  0.404473
36001  0.4276
37001  0.45208
38001  0.476535
39001  0.50118
40001  0.527067
41001  0.562284
42001  0.581046
43001  0.608522
44001  0.637051
45001  0.665957
46001  0.696718
47001  0.726953
48001  0.757563
49001  0.788249
50001  0.821524
51001  0.858205
52001  0.888704
53001  0.922108
54001  0.958375
55001  0.994266
56001  1.03205
57001  1.06618
58001  1.10403
59001  1.1417
60001  1.18133
61001  1.22065
62001  1.26262
63001  1.30119
64001  1.34274
65001  1.38541
66001  1.43026
67001  1.47106
68001  1.51563
69001  1.56104
70001  1.61441
71001  1.65108
72001  1.69868
73001  1.74707
74001  1.79624
75001  1.84631
76001  1.89297
77001  1.9743
78001  1.99287
79001  2.0432
80001  2.0969
81001  2.14871
82001  2.20154
83001  2.25544
84001  2.31033
85001  2.368
86001  2.4208
87001  2.47687
88001  2.53546
89001  2.59188
90001  2.65046
91001  2.71108
92001  2.771
93001  2.83133
94001  2.89314
95001  2.95376
96001  3.01598
97001  3.08023
98001  3.1439
99001  3.20815
